,Q1_1,Q1_2,Q1_4,Q3_1,Q3_2,Q3_3,Q9,Q2,Q8_1,Q8_2,Q8_99,Q6ax1_1,Q6ax3_2,Q7_1,Q7_2,Q7_3,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_8,Q14_99,Q15_2,Q15_3,Q15_5,Q15_7,Q15_8,Q15_10,Q15_99,Q10_2
44,1,1,0,1,1,0,Very familiar,"10,000-20,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,1,0,0,1,1,0,Not at all familiar,"20,001-50,000",0,0,1,0.0,0.0,Strongly disagree,Strongly disagree,Strongly disagree,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
46,0,1,0,0,0,1,Not at all familiar,"Less than 10,000",0,0,1,0.0,0.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
47,1,1,0,1,1,0,Very familiar,"10,000-20,000",1,1,0,2.0,0.0,Strongly agree,Strongly agree,Strongly agree,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
48,1,0,0,0,1,0,Not at all familiar,"10,000-20,000",0,0,1,3.0,0.0,Somewhat agree,Somewhat agree,Somewhat disagree,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
49,1,1,0,0,1,0,Somewhat familiar,"10,000-20,000",1,1,0,1.0,0.0,Somewhat agree,Somewhat agree,Somewhat disagree,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
50,0,1,0,1,0,0,Very familiar,"10,000-20,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
51,0,1,0,1,1,0,Very familiar,"10,000-20,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
52,0,1,0,1,1,0,Very familiar,"10,000-20,000",1,0,0,0.0,0.0,Strongly disagree,Somewhat agree,Strongly agree,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
53,0,1,0,1,1,0,Somewhat familiar,"10,000-20,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0
54,1,0,0,0,1,0,Not at all familiar,"Less than 10,000",1,0,0,5.0,0.0,Strongly agree,Somewhat agree,Strongly agree,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
55,1,0,0,1,1,0,Not at all familiar,"10,000-20,000",0,0,1,3.0,0.0,Somewhat agree,Somewhat agree,Somewhat agree,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
56,1,1,0,0,1,0,Very familiar,"20,001-50,000",0,0,1,5.0,0.0,Strongly agree,Strongly agree,Neither agree nor disagree,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,1,1,0,1,1,0,Very familiar,"10,000-20,000",1,1,0,2.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0
58,1,0,0,0,1,0,Not at all familiar,"10,000-20,000",1,0,0,5.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
59,0,0,1,0,1,0,Not at all familiar,"Less than 10,000",0,0,1,0.0,0.0,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
60,1,1,0,0,1,0,Very familiar,"Less than 10,000",1,0,0,1.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
61,0,1,0,1,0,0,Not at all familiar,"10,000-20,000",1,0,0,0.0,0.0,Somewhat agree,Somewhat agree,Neither agree nor disagree,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
62,1,0,0,0,0,1,Somewhat familiar,"Less than 10,000",0,0,1,5.0,0.0,Strongly agree,Somewhat agree,Somewhat agree,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
63,1,1,0,1,1,0,Not at all familiar,"10,000-20,000",1,0,0,5.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
64,1,0,0,1,1,0,Somewhat familiar,"More than 50,000",0,0,1,3.0,0.0,Strongly agree,Strongly agree,Strongly disagree,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
65,1,1,1,1,1,0,Very familiar,"10,000-20,000",1,0,0,4.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0
66,0,1,0,1,0,0,Somewhat familiar,"20,001-50,000",1,0,0,0.0,0.0,Somewhat agree,Strongly agree,Somewhat agree,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0
67,0,1,0,1,0,0,Somewhat familiar,"10,000-20,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0
68,1,0,1,0,1,0,Not at all familiar,"20,001-50,000",1,0,0,2.0,0.0,Neither agree nor disagree,Strongly agree,Somewhat disagree,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
69,1,0,0,0,1,0,Not at all familiar,"Less than 10,000",0,0,1,5.0,0.0,Somewhat agree,Somewhat agree,Strongly disagree,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0
70,1,0,0,0,1,0,Not at all familiar,"10,000-20,000",0,0,1,3.0,0.0,Somewhat agree,Somewhat agree,Somewhat agree,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
71,0,1,0,0,0,1,Very familiar,"10,000-20,000",0,0,1,0.0,0.0,Strongly disagree,Somewhat disagree,Strongly disagree,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
72,1,0,0,1,1,0,Very familiar,"Less than 10,000",1,0,0,3.0,0.0,Strongly agree,Strongly agree,Strongly agree,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
73,0,1,0,1,1,0,Very familiar,"More than 50,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
74,0,1,0,0,1,0,Very familiar,"10,000-20,000",1,0,0,0.0,0.0,Neither agree nor disagree,Somewhat agree,Somewhat disagree,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
75,1,1,0,1,1,1,Not at all familiar,"10,000-20,000",1,1,0,5.0,0.0,Strongly agree,Strongly agree,Strongly agree,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
76,1,1,0,1,0,0,Very familiar,"10,000-20,000",1,1,0,3.0,0.0,Strongly agree,Strongly agree,Somewhat agree,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
77,0,1,0,0,1,0,Very familiar,"10,000-20,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78,0,1,0,1,1,0,Very familiar,"10,000-20,000",1,1,0,0.0,0.0,Strongly agree,Strongly agree,Strongly disagree,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
79,1,0,0,1,0,0,Somewhat familiar,"Less than 10,000",1,0,0,5.0,0.0,Strongly agree,Strongly agree,Somewhat agree,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,1,0,1,0,0,Somewhat familiar,"Less than 10,000",1,0,0,0.0,0.0,Strongly agree,Strongly agree,Strongly agree,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
81,1,1,0,0,1,0,Not at all familiar,"10,000-20,000",0,0,1,5.0,0.0,Strongly agree,Strongly agree,Somewhat agree,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
